Title;Year;Rated;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;imdbRating;BoxOffice;Production
A Madea Christmas;2013;PG-13;100;Comedy, Drama;Tyler Perry;"Tyler Perry (screenplay), Tyler Perry (based on the stage play """"A Madea Christmas"""" written by)";Tyler Perry, Anna Maria Horsford, Tika Sumpter, Eric Lively;Madea dispenses her unique form of holiday spirit on rural town when she's coaxed into helping a friend pay her daughter a surprise visit in the country for Christmas.;English;USA;4.8;52528330;Lionsgate
Time Traveller;2013;R;109;Action, Adventure, Romance;Roland Joffé;Ajey Jhankar (story), Roland Joffé;Josh Hartnett, Bipasha Basu, Tamsin Egerton, James Mackay;An epic, sweeping and riveting tale of an impossible love set across two time periods and continents.;English, Hindi;Belgium, India, Australia;4.5;NULL;Sony Pictures
Insidious: Chapter 2;2013;PG-13;106;Horror, Mystery, Thriller;James Wan;Leigh Whannell (based on characters created by), James Wan (story), Leigh Whannell (story), Leigh Whannell (screenplay);Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye;The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily.;English;USA, Canada;6.6;71401629;FilmDistrict
The Spectacular Now;2013;R;95;Comedy, Drama, Romance;James Ponsoldt;Scott Neustadter (screenplay), Michael H. Weber (screenplay), Tim Tharp (novel);Miles Teller, Shailene Woodley, Brie Larson, Masam Holden;"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical """"nice girl.""""";English;USA;7.1;NULL;A24
Roadside;2013;NULL;90;Drama, Horror, Mystery;Eric England;Eric England;Ace Marrero, Katie Stegeman, Jack E. Curenton, Lionel D. Carson;Dan Summers and his pregnant wife, Mindy, fight for their lives when they are held hostage in their car by an unseen gunman on the side of a desolate mountain road.;English;USA;4.0;NULL;NULL
The Vatican Exorcisms;2013;R;76;Horror;Joe Marino;Mauro Paolucci, Salvatore Scarico;Piero Maggiò, Joe Marino, Anella Vastola;The Vatican Exorcisms was shot by Joe Marino, an American film-maker who went to Italy to shed light on the phenomenon of exorcisms. Accompanied by Padre Luigi, a true exorcist, Joe travels...;English, Italian;Italy;2.5;NULL;NULL
A Good Day to Die Hard;2013;R;98;Action, Thriller;John Moore;Skip Woods, Roderick Thorp (certain original characters by);Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead;John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces.;English, Russian, Hindi;USA;5.3;67344392;20th Century Fox
Beautiful Creatures;2013;PG-13;124;Drama, Fantasy, Romance;Richard LaGravenese;"Richard LaGravenese (screenplay), Kami Garcia (based on the novel """"Beautiful Creatures"""" by), Margaret Stohl (based on the novel """"Beautiful Creatures"""" by)";Alden Ehrenreich, Alice Englert, Jeremy Irons, Viola Davis;Ethan longs to escape his small Southern town. He meets a mysterious new girl, Lena. Together, they uncover dark secrets about their respective families, their history and their town.;English;USA;6.2;19445217;Warner Bros. Pictures
Safe Haven;2013;PG-13;115;Drama, Romance, Thriller;Lasse Hallström;Dana Stevens (screenplay), Gage Lansky (screenplay), Nicholas Sparks (based upon the novel by);Julianne Hough, Irene Ziegler, Jon Kohler, Tim Parati;A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her.;English, Portuguese;USA;6.7;71100000;Relativity Media
Dry Spell;2013;NULL;90;Comedy, Romance;Travis Legge;Kyle Hoskins, Travis Legge;Suzi Lorraine, Kris Eivers, Rachael Robbins, Heather Dorff;Sasha tries to get her soon-to-be ex husband Kyle laid so she can move on with her sex life guilt-free.;English;USA;3.3;NULL;FilmBuff
Man of Steel;2013;PG-13;143;Action, Adventure, Fantasy;Zack Snyder;David S. Goyer (screenplay), David S. Goyer (story), Christopher Nolan (story), Jerry Siegel (Superman created by), Joe Shuster (Superman created by);Henry Cavill, Amy Adams, Michael Shannon, Diane Lane;Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.;English;USA, Canada, UK;7.1;291021565;Warner Bros. Pictures
Before Midnight;2013;R;109;Drama, Romance;Richard Linklater;Richard Linklater, Julie Delpy, Ethan Hawke, Richard Linklater (characters), Kim Krizan (characters);Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick, Jennifer Prior;We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.;English, Greek, French;USA, Greece;7.9;8114507;Drafthouse Recommends
The Haunting in Connecticut 2: Ghosts of Georgia;2013;R;100;Drama, Horror, Mystery;Tom Elkins;David Coggeshall;Abigail Spencer, Morgana Shaw, Emily Alyn Lind, Chad Michael Murray;A young family moves into a historic home in Georgia, only to learn they are not the house's only inhabitants. Soon they find themselves in the presence of a secret rising from underground and threatening to bring down anyone in its path.;English;USA;5.3;NULL;The Film Arcade
Under the Skin;2013;R;108;Drama, Horror, Sci-Fi;Jonathan Glazer;Walter Campbell, Jonathan Glazer, Michel Faber (based on the novel by);Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell;A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.;English;UK, USA, Switzerland;6.3;2326121;A24
The Great Beauty;2013;NOT RATED;141;Drama;Paolo Sorrentino;Paolo Sorrentino (story), Paolo Sorrentino (screenplay), Umberto Contarello (screenplay);Toni Servillo, Carlo Verdone, Sabrina Ferilli, Carlo Buccirosso;Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.;Italian, Japanese, Spanish, Chinese;Italy, France;7.7;NULL;Janus Films
Escape from Planet Earth;2013;PG;89;Animation, Adventure, Comedy;Cal Brunker;Bob Barlen, Cal Brunker, Tony Leech (story), Cory Edwards (story), Stephen Fry (additional story material);Brendan Fraser, Rob Corddry, Ricky Gervais, Jonathan Morgan Heit;Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.;English;USA, Canada;6.0;54700000;The Weinstein Co.
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo;2013;R;80;Comedy;Craig Moss;Craig Moss;Ashley Martin, Austin Michael Scott, Heidi Kramer, Pickles Moss;After a stint in a psychiatric hospital, a young woman returns to the house where her father killed the entire cast of The Artist during his exorcism.;English;USA;2.6;NULL;Twentieth Century Fox Home Entertainment
Jolly LLB;2013;NULL;135;Comedy, Drama;Subhash Kapoor;Subhash Kapoor;Arshad Warsi, Amrita Rao, Boman Irani, Saurabh Shukla;A small time lawyer files a PIL in court against his own idols case.;Hindi;India;7.4;NULL;FIP
The Incredible Burt Wonderstone;2013;PG-13;100;Comedy;Don Scardino;Jonathan Goldstein (screenplay), John Francis Daley (screenplay), Chad Kultgen (story), Tyler Mitchell (story), Jonathan Goldstein (story), John Francis Daley (story);Steve Carell, Steve Buscemi, Olivia Wilde, Jim Carrey;"A veteran Vegas magician tries to revive his career after his longtime partner quits, he gets fired from his casino act, and an edgy new """"street magician"""" steals his thunder.";English, Spanish;USA;5.9;22525921;Warner Bros. Pictures
The Call;2013;R;94;Crime, Thriller;Brad Anderson;Richard D'Ovidio (screenplay), Richard D'Ovidio (story), Nicole D'Ovidio (story), Jon Bokenkamp (story);Halle Berry, Abigail Breslin, Morris Chestnut, Michael Eklund;When a veteran 911 operator takes a life-altering call from a teenage girl who has just been abducted, she realizes that she must confront a killer from her past in order to save the girl's life.;English;USA;6.7;NULL;Sony Pictures
The Best Man Holiday;2013;R;123;Comedy, Drama;Malcolm D. Lee;Malcolm D. Lee, Malcolm D. Lee (characters);Monica Calhoun, Morris Chestnut, Melissa De Sousa, Taye Diggs;When college friends reunite after 15 years over the Christmas holidays, they discover just how easy it is for long-forgotten rivalries and romances to be reignited.;English;USA;6.7;NULL;Universal Pictures
The Christmas Candle;2013;PG;100;Drama, Family;John Stephenson;Candace Lee (screenplay), Max Lucado (based on the novel by), Eric Newman (screenplay);Hans Matheson, Samantha Barks, Lesley Manville, Sylvester McCoy;Deep in the heart of the English countryside lies the enchanting village of Gladbury. Legend has it every 25 years an angel visits the village candlemaker and touches a single candle. ...;English;UK, USA;6.0;2209479;Echolight Studios
Dom Hemingway;2013;R;93;Comedy, Crime, Drama;Richard Shepard;Richard Shepard;Jude Law, Luca Franzoni, Richard Graham, George Sweeney;After spending 12 years in prison for keeping his mouth shut, notorious safe-cracker Dom Hemingway is back on the streets of London looking to collect what he's owed.;English;UK;6.2;342096;Fox Searchlight
Plush;2013;R;99;Drama, Music, Thriller;Catherine Hardwicke;Catherine Hardwicke, Arty Nelson;Emily Browning, Xavier Samuel, Cam Gigandet, Dawn Olivieri;A young singer/songwriter, despite being married, becomes involved with her new guitarist, who she soon discovers has a dark past and may be a danger to her and those close to her.;English;USA;5.4;2843;Millennium Entertainment
Birdemic 2: The Resurrection;2013;NULL;90;Action, Comedy, Horror;James Nguyen;James Nguyen (screenwriter);Alan Bagh, Whitney Moore, Thomas Favaloro, Chelsea Turnbo;A platoon of eagles and vultures attack Hollywood, California. Why did the eagles and vultures attack? Who will survive?;English;USA;1.7;NULL;Moviehead Pictures
Lee Daniels' The Butler;2013;PG-13;132;Biography, Drama;Lee Daniels;Danny Strong, Wil Haygood (article);Forest Whitaker, David Banner, Michael Rainey Jr., LaJessie Smith;As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society.;English;USA;7.2;116631310;The Weinstein Company
Kick-Ass 2;2013;R;103;Action, Comedy, Crime;Jeff Wadlow;Jeff Wadlow (screenplay), Mark Millar (comic book), John Romita Jr. (comic book);Aaron Taylor-Johnson, Chloë Grace Moretz, Morris Chestnut, Claudia Lee;Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But Red Mist leads his own group of evil supervillains to get revenge, kill Kick-Ass and destroy everything he stands for.;English;USA, UK, Japan;6.6;28800000;Universal Pictures
Star Trek Into Darkness;2013;PG-13;132;Action, Adventure, Sci-Fi;J.J. Abrams;"Roberto Orci, Alex Kurtzman, Damon Lindelof, Gene Roddenberry (television series """"Star Trek"""")";Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban;After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.;English, Klingon;USA;7.8;228756232;Paramount
Turbo;2013;PG;96;Animation, Adventure, Comedy;David Soren;Darren Lemke (screenplay), Robert D. Siegel (screenplay), David Soren (screenplay), David Soren (story);Ryan Reynolds, Paul Giamatti, Michael Peña, Samuel L. Jackson;A freak accident might just help an everyday garden snail achieve his biggest dream: winning the Indy 500.;English;USA;6.5;81100000;DreamWorks Animation
My Lucky Star;2013;NULL;114;Action, Adventure, Comedy;Dennie Gordon;Amy Snow (screenplay), Chris Chow (screenplay), Hai Huang (screenplay), Yao Meng (screenplay), Dennie Gordon (story), Amy Snow (story), Ming Beaver Kwei (story), Wen-Chia Chang (development executive);Ziyi Zhang, Leehom Wang, Terri Kwan, Ryan Zheng;A woman gets caught up in an international diamond heist which pushes her close to a spy who is trying to save the world.;Chinese;China;5.1;NULL;China Lion Films
Anchorman 2: The Legend Continues;2013;PG-13;119;Comedy;Adam McKay;Will Ferrell, Adam McKay, Will Ferrell (characters), Adam McKay (characters);Will Ferrell, Steve Carell, Paul Rudd, David Koechner;With the '70s behind him, San Diego's top-rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.;English;USA;6.3;76820043;Paramount Pictures
Broken City;2013;R;109;Crime, Drama, Thriller;Allen Hughes;Brian Tucker;Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright;In a city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure: Mayor Nicholas Hostetler.;English, Spanish;USA;6.2;19600000;20th Century Fox
The Last Stand;2013;R;107;Action, Crime, Thriller;Jee-woon Kim;Andrew Knauer;Arron Shiver, Arnold Schwarzenegger, Titos Menchaca, Richard Dillard;The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff.;English;USA;6.4;12000000;Lionsgate Films
Mama;2013;PG-13;100;Horror, Thriller;Andrés Muschietti;Andrés Muschietti (story), Barbara Muschietti (story), Neil Cross (screenplay), Andrés Muschietti (screenplay), Barbara Muschietti (screenplay);Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse;A young couple take in their two nieces only to suspect that a foreboding evil has latched itself to their family.;English;Canada, Spain;6.2;71588220;Universal Pictures
Underdogs;2013;PG;85;Animation, Adventure, Family;Juan José Campanella;Michael Broadbridge, Juan José Campanella (story and screenplay), Roberto Fontanarrosa (short story), Gastón Gorali (story and screenplay), Eduardo Sacheri (story and screenplay);Gabriel Almirón, Federico Cecere, Ezequiel Cipols, Luciana Falcón;A young man named Amadeo sets off on an unexpected adventure with the players of his beloved Foosball game.;Spanish, English;Spain, Argentina;6.6;162470;The Weinstein Company
Straight A's;2013;R;91;Comedy, Drama;James Cox;Dave Cole;Ryan Phillippe, Anna Paquin, Luke Wilson, Riley Thomas Stewart;Pressured by his deceased mother's ghost to return home to the family he abandoned, a former addict grabs a bag of pills and a sack of marijuana and hits the road to Louisiana.;English;USA;5.7;NULL;Nu Image/Millennium Films
Escape Plan;2013;R;115;Action, Crime, Mystery;Mikael Håfström;Miles Chapman (screenplay), Jason Keller (screenplay), Miles Chapman (story);Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, Faran Tahir;When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.;English, German, Arabic, Urdu;USA;6.7;18645489;Summit Entertainment
Carrie;2013;R;100;Drama, Horror;Kimberly Peirce;Lawrence D. Cohen (screenplay), Roberto Aguirre-Sacasa (screenplay), Stephen King (novel);Julianne Moore, Chloë Grace Moretz, Gabriella Wilde, Portia Doubleday;A shy girl, outcasted by her peers and sheltered by her religious mother, unleashes telekinetic terror on her small town after being pushed too far at her senior prom.;English;USA;5.9;28440607;Sony Pictures
The Fifth Estate;2013;R;128;Biography, Drama, Thriller;Bill Condon;Daniel Domscheit-Berg (book), David Leigh (book), Luke Harding (book), Josh Singer (screenplay);Peter Capaldi, David Thewlis, Anatole Taubman, Alexander Beyer;A dramatic thriller based on real events that reveals the quest to expose the deceptions and corruptions of power that turned an Internet upstart into the 21st century's most fiercely debated organization.;English, Icelandic, Swahili, Arabic;USA, India, Belgium;6.2;3254172;Walt Disney Pictures
Oblivion;2013;PG-13;124;Action, Adventure, Mystery;Joseph Kosinski;Karl Gajdusek (screenplay), Michael Arndt (screenplay), Joseph Kosinski (graphic novel original story);Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough;A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.;English;USA;7.0;89021735;Universal Pictures
Home Run;2013;PG-13;113;Drama, Sport;David Boyd;Brian Brightly, Candace Lee, Eric Newman, Melanie Wistar;Scott Elrod, Dorian Brown Pham, Charles Henry Wyson, James Devoti;A pro ball player with a substance abuse problem is forced into rehab in his hometown, finding new hope when he gets honest about his checkered past, and takes on coaching duties for a misfit Little League team.;English;USA;6.0;2859955;Samuel Goldwyn Films
Her Cry: La Llorona Investigation;2013;NOT RATED;89;Horror;Damir Catic;Damir Catic, Ron Gelner (associate head writer);Nichole Ceballos, James Ezrin, Ron Gelner, Everardo Guzman;"Crew of """"Paranormal Legends"""" went to film their 4th season at the place where La Llorona (Weeping woman) was reportedly seen. Only thing that's left was 17 hours of tapes and 2 camcorders.";English;USA;5.3;NULL;Dark Lightning Films
Drishyam;2013;NOT RATED;160;Crime, Drama, Thriller;Jeethu Joseph;Jeethu Joseph;Mohanlal, Meena, Ansiba, Esther;A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.;Malayalam;India;8.9;NULL;Fancy Digital
Firestorm;2013;NULL;118;Action, Crime, Thriller;Alan Yuen;Alan Yuen;Chen Yao, Ka Tung Lam, Andy Lau, Jun Hu;A storm is heading to the city, and with it comes another occurrence so destructive, it vows to bring down everything it touches. A crew of seasoned criminals led by the notorious Nam (Hu ...;Mandarin, Cantonese;China, Hong Kong;6.2;NULL;NULL
Hansel & Gretel Get Baked;2013;NULL;86;Comedy, Horror;Duane Journey;David Tillman;Molly C. Quinn, Michael Welch, Lara Flynn Boyle, Cary Elwes;A brother and sister battle a witch who lures teenagers into her suburban home with her special blend of marijuana where she then proceeds to kill and eat them to maintain her youth and beauty.;English;USA;4.3;NULL;Tribeca Films
D-Day;2013;NULL;153;Action, Adventure, Crime;Nikkhil Advani;Nikkhil Advani, Ritesh Shah, Suresh Nair, Niranjan Iyengar, Nikkhil Advani (screenplay), Ritesh Shah (dialogue);Rishi Kapoor, Irrfan Khan, Arjun Rampal, Shruti Haasan;A team of experts dispatched to bring in The Most Wanted Man in India almost achieves the unthinkable ... until something goes horribly wrong.;Hindi;India;7.2;NULL;Yash Raj Films
R.I.P.D.;2013;PG-13;96;Action, Adventure, Comedy;Robert Schwentke;Phil Hay (screenplay), Matt Manfredi (screenplay), David Dobkin (story by), Phil Hay (story by), Matt Manfredi (story by), Peter M. Lenkov (based on the comic created by);Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker;A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him.;English;USA;5.6;33500000;Universal Pictures
RED 2;2013;PG-13;116;Action, Comedy, Crime;Dean Parisot;Jon Hoeber, Erich Hoeber, Warren Ellis (characters), Cully Hamner (characters);Bruce Willis, John Malkovich, Mary-Louise Parker, Helen Mirren;Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.;English, Russian, French, Persian, Korean;USA, France, Canada;6.7;53215979;Lionsgate Films
The Conjuring;2013;R;112;Horror, Mystery, Thriller;James Wan;Chad Hayes, Carey Hayes;Vera Farmiga, Patrick Wilson, Lili Taylor, Ron Livingston;Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.;English, Latin;USA;7.5;137387272;Warner Bros. Pictures
Escape from Tomorrow;2013;NOT RATED;90;Drama, Fantasy, Horror;Randy Moore;Randy Moore;Roy Abramsohn, Elena Schuber, Katelynn Rodriguez, Jack Dalton;In a world of fake castles and anthropomorphic rodents, an epic battle begins when an unemployed father's sanity is challenged by a chance encounter with two underage girls on holiday.;English, French;USA;5.2;169719;FilmBuff
The Last Days on Mars;2013;R;98;Horror, Sci-Fi, Thriller;Ruairi Robinson;Sydney J. Bounds (short story), Clive Dawson (screenplay);Liev Schreiber, Elias Koteas, Romola Garai, Olivia Williams;A group of astronaut explorers succumb one by one to a mysterious and terrifying force while collecting specimens on Mars.;English;UK, Ireland;5.5;NULL;Magnolia Pictures
Bending Steel;2013;NULL;92;Documentary;Dave Carroll;Dave Carroll, Ryan Scafuro;Chris 'Wonder' Schoeck;An intimate documentary exploring the lost art of the oldetime strongman and one man's struggle to overcome limitations of body and mind.;English;USA;7.9;NULL;NULL
Walking with Dinosaurs 3D;2013;PG;87;Animation, Adventure, Family;Barry Cook, Neil Nightingale;John Collee (screenplay), Gerry Swallow (dialogue written by), David Skelly (additional story);Charlie Rowe, Karl Urban, Angourie Rice, John Leguizamo;See and feel what it was like when dinosaurs ruled the Earth, in a story where an underdog dino triumphs to become a hero for the ages.;English;USA, UK, Australia;5.2;23446920;20th Century Fox
American Hustle;2013;R;138;Crime, Drama;David O. Russell;Eric Warren Singer, David O. Russell;Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner;A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.;English, Arabic;USA;7.3;99165609;Sony Pictures
Saving Mr. Banks;2013;PG-13;125;Biography, Comedy, Drama;John Lee Hancock;Kelly Marcel, Sue Smith;Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell;Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.;English;USA, UK, Australia;7.5;53260198;Walt Disney Pictures
This Is Martin Bonner;2013;R;83;Drama;Chad Hartigan;Tara Everhart (additional dialogue written by), Chad Hartigan;Paul Eenhoorn, Demetrius Grosse, Tom Plunkett, Christy Lighthouse;Martin Bonner has just moved to Nevada from the East Coast, leaving behind his two adult children and a life he spent more than two decades building.;English;USA;6.6;NULL;Monterey Media
Prisoners;2013;R;153;Crime, Drama, Mystery;Denis Villeneuve;Aaron Guzikowski;Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello;When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.;English;USA;8.1;60962878;Warner Bros.
The Lunchbox;2013;PG;104;Drama, Romance;Ritesh Batra;Ritesh Batra (screenplay), Vasan Bala (hindi dialogue consultant);Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey;A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.;Hindi, English;India, France, Germany, USA, Canada;7.8;4231500;Sony Pictures Classics
Battle of the Year;2013;PG-13;110;Drama, Music;Benson Lee;"Brin Hill, Chris Parker, Benson Lee (based upon the documentary """"Planet B-Boy"""" by)";Josh Holloway, Laz Alonso, Josh Peck, Caity Lotz;Battle of the Year attracts all the best teams from around the world, but the Americans haven't won in fifteen years. Dante enlists Blake to assemble a team of the best dancers and bring the Trophy back to America where it started.;English;USA;5.0;8888355;Sony Pictures
A True Story;2013;NULL;96;Comedy;Malcolm Goodwin;Cameron Fife, Tyler McGee;Katrina Bowden, Jon Gries, Malcolm Goodwin, Cameron Fife;Mike and Matt own nothing and share everything, including their life's work, a screenplay, which seems to be their only escape from the harsh reality that is the Hollywood machine.;English;USA;5.3;NULL;Freestyle Media
The Mortal Instruments: City of Bones;2013;PG-13;130;Action, Fantasy, Horror;Harald Zwart;Jessica Postigo (screenplay), Cassandra Clare (based on the novel by);Lily Collins, Jamie Campbell Bower, Kevin Zegers, Jemima West;When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World.;English;USA, Germany, Canada;5.9;31165421;Sony Pictures
Buen Día, Ramón;2013;PG-13;120;Drama;Jorge Ramírez Suárez;Jorge Ramírez Suárez;Kristyan Ferrer, Ingeborg Schöner, Adriana Barraza, Arcelia Ramírez;Ramon, a young Mexican boy, tries to cross the border for the fifth time but fails. His friend tells him about his aunt living in Germany and that she has a better life over there. Ramon then goes to Germany to find his friend's aunt.;German, Spanish;Mexico, Germany;7.6;NULL;20th Century Fox
Raanjhanaa;2013;NOT RATED;140;Drama, Romance;Aanand L. Rai;Himanshu Sharma;Dhanush, Sonam Kapoor, Mohammed Zeeshan Ayyub, Swara Bhaskar;A small-town boy needs to break through the class divide to gain acceptance from his childhood sweetheart who is in love with big city ideals.;Hindi, Tamil;India;7.6;875051;Eros Enteertainment
Monsters University;2013;G;104;Animation, Adventure, Comedy;Dan Scanlon;Dan Scanlon (story by), Daniel Gerson (story by), Robert L. Baird (story by), Daniel Gerson (screenplay), Robert L. Baird (screenplay), Dan Scanlon (screenplay);Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren;A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.;English;USA;7.3;260300000;Walt Disney Pictures
World War Z;2013;PG-13;116;Action, Adventure, Horror;Marc Forster;Matthew Michael Carnahan (screenplay), Drew Goddard (screenplay), Damon Lindelof (screenplay), Matthew Michael Carnahan (screen story), J. Michael Straczynski (screen story), Max Brooks (based on the novel by);Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale;Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.;English, Spanish, Hebrew, Arabic;USA;7.0;202351611;Paramount Pictures
Ankhon Dekhi;2013;NULL;107;Comedy, Drama;Rajat Kapoor;Rajat Kapoor;Sanjay Mishra, Seema Pahwa, Rajat Kapoor, Taranjit Kaur;Ankhon Dekhi centers around Raje Bauji, played by Sanjay Mishra who, after a dramatic incident, decides that he will only believe what he sees with his eyes.;Hindi;India;8.1;NULL;NULL
Cheap Thrills;2013;NOT RATED;88;Comedy, Crime, Drama;E.L. Katz;David Chirchirillo, Trent Haaga;Pat Healy, Sara Paxton, Ethan Embry, David Koechner;A scheming couple put a struggling family man and his old friend through a series of increasingly twisted dares over the course of an evening at a local bar.;English;USA;6.8;NULL;Drafthouse Films
Kai po che!;2013;NOT RATED;120;Drama, Sport;Abhishek Kapoor;Chetan Bhagat (novel), Abhishek Kapoor (adaptation), Supratik Sen (adaptation), Chetan Bhagat (adaptation), Pubali Chaudhuri (adaptation);Rajkummar Rao, Sushant Singh Rajput, Amit Sadh, Asif Basra;Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.;Hindi;India;7.7;1122527;UTV Motion Pictures
Snitch;2013;PG-13;112;Action, Drama, Thriller;Ric Roman Waugh;Justin Haythe, Ric Roman Waugh;Dwayne Johnson, Barry Pepper, Jon Bernthal, Susan Sarandon;A father goes undercover for the DEA in order to free his son, who was imprisoned after being set up in a drug deal.;English, Spanish;USA, United Arab Emirates;6.5;42908315;Lionsgate/Summit Entertainment
The Croods;2013;PG;98;Animation, Adventure, Comedy;Kirk De Micco, Chris Sanders;Chris Sanders (screenplay), Kirk De Micco (screenplay), John Cleese (story), Kirk De Micco (story), Chris Sanders (story);Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener;After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.;English;USA;7.2;187165546;20th Century Fox
Olympus Has Fallen;2013;R;119;Action, Thriller;Antoine Fuqua;Creighton Rothenberger, Katrin Benedikt;Gerard Butler, Aaron Eckhart, Finley Jacobsen, Dylan McDermott;"Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.";English, Korean;USA;6.5;98600000;FilmDistrict
Admission;2013;PG-13;107;Comedy, Drama, Romance;Paul Weitz;Karen Croner (screenplay), Jean Hanff Korelitz (based on the novel by);Tina Fey, Ann Harada, Ben Levin, Dan Levy;A Princeton admissions officer who is up for a major promotion takes a professional risk after she meets a college-bound alternative school kid who just might be the son she gave up years ago in a secret adoption.;English;USA;5.7;18000000;Focus Features
Only God Forgives;2013;R;90;Crime, Drama;Nicolas Winding Refn;Nicolas Winding Refn;Ryan Gosling, Kristin Scott Thomas, Vithaya Pansringarm, Gordon Brown;Julian, a drug-smuggler thriving in Bangkok's criminal underworld, sees his life get even more complicated when his mother compels him to find and kill whoever is responsible for his brother's recent death.;English, Thai;Denmark, France, USA, Sweden;5.7;700000;Radius-TWC
The Hunger Games: Catching Fire;2013;PG-13;146;Action, Adventure, Mystery;Francis Lawrence;Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel);Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair;Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.;English;USA;7.6;336663349;Lionsgate Films
