Title;Year;Rated;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;imdbRating;BoxOffice;Production
An American Haunting;2005;PG-13;83;Horror, Mystery, Thriller;Courtney Solomon;Brent Monahan (novel), Courtney Solomon;Donald Sutherland, Sissy Spacek, James D'Arcy, Rachel Hurd-Wood;Based on the true events of the only case in US History where a spirit caused the death of a man.;English;UK, Canada, Romania, USA;5.0;16235040;Freestyle Releasing
The Chumscrubber;2005;R;108;Comedy, Drama;Arie Posin;Arie Posin (story), Zac Stanford (screenplay);Jamie Bell, Camilla Belle, Justin Chatwin, Glenn Close;A darkly satiric story about life crumbling in the midst of a seemingly idyllic suburbia.;English;USA, Germany;7.0;NULL;Picturehouse
Munich;2005;R;164;Crime, Drama, History;Steven Spielberg;Tony Kushner (screenplay), Eric Roth (screenplay), George Jonas (book);Eric Bana, Daniel Craig, Ciarán Hinds, Mathieu Kassovitz;Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day.;English, German, French, Hebrew, Arabic, Italian, Greek, Russian;France, Canada, USA;7.6;47379090;Universal Pictures
BloodRayne;2005;R;95;Action, Adventure, Fantasy;Uwe Boll;Guinevere Turner;Kristanna Loken, Michael Madsen, Matthew Davis, Will Sanderson;In the 18th century, a vampire escapes from the freak show she once participated in and teams up with a group of vampire slayers to kill the man who raped her mother.;English;Germany, USA;2.9;1550000;Fantastic Films International
Hostel;2005;R;94;Horror, Mystery, Thriller;Eli Roth;Eli Roth;Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljakova;Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.;English, Czech, German, Dutch, Slovak, Japanese, Icelandic, Russian, Spanish;USA, Germany, Czech Republic, Slovakia, Iceland;5.9;47277326;Lions Gate Films
Kingdom of Heaven;2005;R;144;Action, Adventure, Drama;Ridley Scott;William Monahan;Martin Hancock, Michael Sheen, Nathalie Cox, Eriq Ebouaney;Balian of Ibelin travels to Jerusalem during the crusades of the 12th century, and there he finds himself as the defender of the city and its people.;English, Arabic, Latin, Italian;USA, UK, Spain, Germany, Morocco;7.2;47259055;20th Century Fox
House of Wax;2005;R;108;Horror;Jaume Collet-Serra;Charles Belden (story), Chad Hayes (screenplay), Carey Hayes (screenplay);Elisha Cuthbert, Chad Michael Murray, Brian Van Holt, Paris Hilton;A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.;English;Australia, USA;5.3;32000000;Warner Bros. Pictures
Forty Shades of Blue;2005;R;108;Drama, Music, Romance;Ira Sachs;Michael Rohatyn, Ira Sachs;Dina Korzun, Rip Torn, Darren E. Burrows, Andrew Lawrence Henderson;A Russian woman living in Memphis with a much older rock-'n'-roll legend experiences a personal awakening when her husband's estranged son comes to visit.;English;USA;6.0;NULL;First Look Media
White Noise;2005;PG-13;101;Drama, Horror, Mystery;Geoffrey Sax;Niall Johnson;Michael Keaton, Chandra West, Deborah Kara Unger, Ian McNeice;An architect's desire to speak with his wife from beyond the grave, becomes an obsession with supernatural repercussions.;English;UK, Canada, USA;5.5;55865715;Universal Pictures
The Curse of the Were-Rabbit;2005;G;85;Animation, Comedy, Family;Steve Box, Nick Park;Steve Box (screenplay), Nick Park (screenplay), Mark Burton (screenplay), Bob Baker (screenplay), Nick Park (based on characters created by);Peter Sallis, Ralph Fiennes, Helena Bonham Carter, Peter Kay;Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest.;English;UK, USA;7.5;56068547;Dreamworks
Where the Truth Lies;2005;R;107;Crime, Drama, Mystery;Atom Egoyan;Atom Egoyan (screenplay), Rupert Holmes (novel);Kevin Bacon, Colin Firth, Alison Lohman, David Hayman;Karen O'Connor, a young journalist known for her celebrity profiles, is consumed with discovering the truth behind a long-buried incident that affected the lives and careers of showbiz team Vince Collins and Lanny Morris.;English, Cantonese;Canada, UK;6.5;NULL;NULL
Thumbsucker;2005;R;96;Comedy, Drama;Mike Mills;Walter Kirn (novel), Mike Mills;Ted Beckman, Benjamin Bratt, Vincent D'Onofrio, Arvin V. Entena;Justin throws himself and everyone around him into chaos when he attempts to break free from his addiction to his thumb.;English;USA;6.6;1111641;Sony Pictures Classics
Waiting...;2005;R;94;Comedy;Rob McKittrick;Rob McKittrick;Ryan Reynolds, Anna Faris, Justin Long, David Koechner;Young employees at Shenaniganz restaurant collectively stave off boredom and adulthood with their antics.;English, German;USA;6.8;16101109;Lions Gate
The Call of Cthulhu;2005;NULL;47;Fantasy, Horror, Mystery;Andrew Leman;H.P. Lovecraft (short story), Sean Branney (adapted for the screen by);Matt Foyer, John Bolen, Ralph Lucas, Chad Fifer;While sorting the affairs of his late Uncle, a man accidentally stumbles across a series of dark secrets connected to an ancient horror waiting to be freed.;English, French, Spanish, Italian, German;USA;7.3;NULL;HPLHS Motion Pictures
Sahara;2005;PG-13;124;Action, Adventure, Comedy;Breck Eisner;Clive Cussler (novel), Thomas Dean Donnelly (screenplay), Joshua Oppenheimer (screenplay), John C. Richards (screenplay), James V. Hart (screenplay);Matthew McConaughey, Steve Zahn, Penélope Cruz, William H. Macy;"Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the """"Ship of Death"""" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator.";English, French, Arabic;UK, Spain, Germany, USA;6.0;68642452;Paramount Pictures
Fever Pitch;2005;PG-13;104;Comedy, Drama, Romance;Bobby Farrelly, Peter Farrelly;Lowell Ganz (screenplay), Babaloo Mandel (screenplay), Nick Hornby (novel);Drew Barrymore, Jimmy Fallon, Jason Spevack, Jack Kehler;Lindsay is stuck in the middle of her relationship with Ben and his passion for the Boston Red Sox.;English;USA, Germany;6.2;41966965;20th Century Fox
